Date,Type,Area,Ward,Candidate,Position,Votes,Won
October 26 1983,General Election,Fort Garry School Division,2,Ralph PEARCE,Office of School Trustee,0,Yes
October 23 1974,General Election,Balmoral,,Wally LOEPP,Office of Councillor,496,No
October 23 1974,General Election,Assiniboine South School Division,2,Jane WINTER,Office of School Trustee,998,Yes
October 26 1989,General Election,Transcona-Springfield School Division,2,Jack LANG,Office of School Trustee,0,Yes
October 23 1974,General Election,St. Vital School Division,,Yvonne KOWALYK,Office of School Trustee,2122,No
November 26 2011,By-Election,St. Vital,,Hammad KHAN,Office of Councillor,275,No
October 28 1998,General Election,St. James-Assiniboia School Division,Silver Heights-Booth Ward,Sandra PATTERSON-GREENE,Office of School Trustee,3678,Yes
October 26 1977,General Election,Sisler,,Norman HUDSON,Office of Councillor,2690,Yes
October 22 1986,General Election,St. Vital School Division,,Bob WIEBE,Office of School Trustee,2405,No
June 20 1979,By-Election,Winnipeg,,Ray BRUNKA,Office of Mayor,465,No
October 27 2010,General Election,Winnipeg School Division,1,Brenda POERSCH,Office of School Trustee,3596,No
October 26 1983,General Election,Winnipeg School Division,1,Margaret TROTT,Office of School Trustee,16862,Yes
October 26 1977,General Election,Grant's Mill,,Jim ERNST,Office of Councillor,2603,Yes
October 28 1992,General Election,Winnipeg,,Susan THOMPSON,Office of Mayor,89743,Yes
October 22 1986,General Election,St. Boniface School Division,,Joyce PATTERSON,Office of School Trustee,4451,Yes
October 23 1974,General Election,Silver Heights,,Pearl MCGONIGAL,Office of Councillor,0,Yes
October 23 1974,General Election,Assiniboine South School Division,2,Peter MARTIN,Office of School Trustee,375,No
October 26 1983,General Election,Springfield Heights,,Jim RAGSDILL,Office of Councillor,3725,Yes
October 26 1983,General Election,Langevin,,Chuck DOMAN,Office of Councillor,3378,No
October 28 1998,General Election,Seven Oaks School Division,3,Richard SAWKA,Office of School Trustee,3105,Yes
October 23 1974,General Election,Polo Park,,Andy ROBERTSON,Office of Councillor,1078,No
October 22 1986,General Election,Seven Oaks School Division,3,Ben HANUSCHAK,Office of School Trustee,3140,Yes
October 28 1998,General Election,Elmwood,,Ed PILBEAM,Office of Councillor,904,No
October 26 1977,General Election,St. Vital School Division,,Glen COLQUHOUN,Office of School Trustee,3259,No
October 22 1986,General Election,Seven Oaks School Division,3,Morley JACOBS,Office of School Trustee,1978,No
October 28 1998,General Election,St. James-Assiniboia School Division,King Edward-Deer Lodge Ward,Peter CARNEY,Office of School Trustee,2151,No
October 27 2010,General Election,Winnipeg School Division,2,Anthony RAMOS,Office of School Trustee,6955,Yes
October 26 1995,General Election,Fort Garry School Division,2,Richard STEVENSON,Office of School Trustee,930,No
October 23 1974,General Election,Seven Oaks School Division,3,Elizabeth ZOOCHKAN,Office of School Trustee,932,No
October 28 1998,General Election,St. James,,Darrell BAHSLER,Office of Councillor,1477,No
October 28 1992,General Election,Point Douglas,,Steve SYNISHIN,Office of Councillor,333,No
October 26 1995,General Election,River East School Division,2,Vicki LAZARUK,Office of School Trustee,4419,Yes
October 23 2002,General Election,Winnipeg School Division,3,Neri DIMACALI,Office of School Trustee,3096,No
October 28 1998,General Election,St. James-Assiniboia School Division,Kirkfield-St. Charles Ward,Bruce CHEGUS,Office of School Trustee,0,Yes
