Date,Type,Area,Ward,Candidate,Position,Votes,Won
October 23 2002,General Election,St. James,,Fred MORRIS,Office of Councillor,3265,No
October 28 1998,General Election,Winnipeg School Division,3,Roman YERENIUK,Office of School Trustee,6254,Yes
October 26 1983,General Election,Seine Valley,,Ross DOBSON,Office of Councillor,2536,No
October 28 1998,General Election,St. Vital School Division,,Mark HERRON,Office of School Trustee,4369,No
October 26 1989,General Election,St. James-Assiniboia School Division,Silver Heights-Booth Ward,Jeanie MCALPINE,Office of School Trustee,2874,Yes
October 25 2006,General Election,Louis Riel School Division,3,Wayne RUFF,Office of School Trustee,5611,Yes
October 26 1977,General Election,St. Charles,,Jackie SNEESBY,Office of Councillor,970,No
October 28 1998,General Election,Winnipeg School Division,1,Leslie BARCLAY,Office of School Trustee,4701,No
October 22 1986,General Election,St. James-Assiniboia School Division,Kirkfield-St. Charles Ward,Michael YAKIMISHYN,Office of School Trustee,1598,No
October 26 1989,General Election,Assiniboine South School Division,3,Jane MACDIARMID,Office of School Trustee,1124,Yes
October 22 2014,General Election,Louis Riel School Division,1,Tanjit NAGRA,Office of School Trustee,2956,No
October 23 1974,General Election,Assiniboine South School Division,2,Kenneth PRICE,Office of School Trustee,335,No
October 26 1983,General Election,Corydon,,Harold MACDONALD,Office of Councillor,3875,Yes
October 25 2006,General Election,St. James-Assiniboia School Division,King Edward-Deer Lodge Ward,Bob FILEP,Office of School Trustee,562,No
October 26 1989,General Election,Seven Oaks School Division,3,Michael SAWKA,Office of School Trustee,2907,Yes
October 28 1998,General Election,Seven Oaks School Division,2,Geoffrey FEDOWICH,Office of School Trustee,1304,No
October 23 1974,General Election,Seven Oaks School Division,3,Ben ZAIDMAN,Office of School Trustee,2784,Yes
October 26 1989,General Election,Seven Oaks School Division,2,Paul ELSHOFF,Office of School Trustee,971,No
October 23 2002,General Election,Pembina Trails School Division,3,Victor BRYLL,Office of School Trustee,2716,No
October 23 2002,General Election,River East Transcona School Division,4,Wayne RITCHER,Office of School Trustee,3004,Yes
October 28 1992,General Election,River Heights,,Nick TERNETTE,Office of Councillor,573,No
October 23 1974,General Election,Assiniboine South School Division,1,Douglas DREW,Office of School Trustee,630,Yes
October 28 1992,General Election,Winnipeg School Division,2,Marty GREEN,Office of School Trustee,4217,No
October 23 2002,General Election,Louis Riel School Division,4,Laura REIMER,Office of School Trustee,6511,Yes
October 22 1986,General Election,Redboine,,Claro PAQUEO,Office of Councillor,1047,No
October 26 1995,General Election,Winnipeg School Division,1,Nick TERNETTE,Office of School Trustee,3185,No
October 22 1986,General Election,Fort Garry School Division,2,David BOWLES,Office of School Trustee,187,No
October 28 1998,General Election,Assiniboine South School Division,1,Wendy MOROZ,Office of School Trustee,3131,Yes
October 22 1986,General Election,Seven Oaks School Division,3,John STAIRS,Office of School Trustee,1584,No
October 28 1998,General Election,Winnipeg School Division,2,Mario SANTOS,Office of School Trustee,6331,Yes
October 23 1974,General Election,River East School Division,1,Helen MAYBA,Office of School Trustee,2467,Yes
October 25 2006,General Election,Winnipeg School Division,3,Sonia PREVOST-DERBECKER,Office of School Trustee,6114,Yes
October 28 1992,General Election,St. James,,Jae EADIE,Office of Councillor,8032,Yes
October 26 1989,General Election,Transcona,,Bill LYONS,Office of Councillor,618,No
October 26 1977,General Election,Jefferson,,Abe YANOFSKY,Office of Councillor,1983,Yes
October 27 2010,General Election,St. James-Assiniboia School Division,King Edward-Deer Lodge Ward,Ed HUME,Office of School Trustee,2596,Yes
October 26 1983,General Election,St. James-Assiniboia School Division,Kirkfield-St. Charles Ward,Helmut SONNICHSEN,Office of School Trustee,833,No
October 26 1977,General Election,Corydon,,June WESTBURY,Office of Councillor,3055,Yes
October 23 2002,General Election,St. James-Assiniboia School Division,Silver Heights-Booth Ward,Bob WILSON,Office of School Trustee,2445,No
October 23 1974,General Election,Polo Park,,Frank JOHNSON,Office of Councillor,345,No
October 06 1971,General Election,Winnipeg,,Gordon ANDERSON,Office of Mayor,2765,No
October 28 1998,General Election,Winnipeg School Division,1,John ORLIKOW,Office of School Trustee,10163,Yes
October 26 1983,General Election,St. Vital School Division,,John BRUCE,Office of School Trustee,3398,No
October 22 2014,General Election,St. Boniface,,Ryan DAVIES,Office of Councillor,3939,No
October 26 1995,General Election,St. Norbert,,Derek RIEL,Office of Councillor,1768,No
October 28 1998,General Election,St. Vital,,Nick MILLER,Office of Councillor,1393,No
October 22 1986,General Election,St. James-Assiniboia School Division,King Edward-Deer Lodge Ward,Scott JOHNSTON,Office of School Trustee,1998,Yes
October 28 1992,General Election,Winnipeg School Division,3,Ed KOWALCHUK,Office of School Trustee,7529,Yes
October 26 1989,General Election,Fort Garry School Division,2,Kathy MCKIBBIN,Office of School Trustee,0,Yes
October 26 1977,General Election,Elmwood,,Alf SKOWRON,Office of Councillor,2454,Yes
October 25 2006,General Election,Pembina Trails School Division,3,Laureen GOODRIDGE,Office of School Trustee,4157,Yes
October 25 2006,General Election,St. James-Assiniboia School Division,Silver Heights-Booth Ward,Iva SHARP,Office of School Trustee,3425,No
October 26 1995,General Election,St. James-Assiniboia School Division,King Edward-Deer Lodge Ward,Scott JOHNSTON,Office of School Trustee,4533,Yes
October 26 1983,General Election,Norwood School Division,,Joan KENNEDY,Office of School Trustee,2868,Yes
March 17 2009,By-Election,Winnipeg School Division,1,Rita HILDAHL,Office of School Trustee,2427,Yes
October 22 1986,General Election,Winnipeg School Division,3,Roman YERENIUK,Office of School Trustee,3770,No
June 22 2004,By-Election,River Heights-Fort Garry,,John ORLIKOW,Office of Councillor,4227,No
October 23 1974,General Election,St. James-Assiniboia School Division,,George WATERS,Office of School Trustee,4708,Yes
October 22 1986,General Election,Seven Oaks School Division,3,Claudia SARBIT,Office of School Trustee,2870,Yes
October 23 2002,General Election,Louis Riel School Division,2,Ken GOLDEN,Office of School Trustee,1207,No
October 22 2014,General Election,River East Transcona School Division,1,Jerry SODOMLAK,Office of School Trustee,3472,Yes
October 26 1995,General Election,Assiniboine South School Division,3,Gerry MELNYK,Office of School Trustee,2212,Yes
October 22 1986,General Election,Assiniboine South School Division,2,Rick HEFFORD,Office of School Trustee,1268,No
October 22 1986,General Election,Miles MacDonnell,,Kornelius LOEWEN,Office of Councillor,2050,No
October 26 1977,General Election,Redboine,,Cyril KEEPER,Office of Councillor,1502,Yes
October 28 1998,General Election,Winnipeg School Division,3,Anne PUCHIR,Office of School Trustee,1565,No
October 22 1986,General Election,St. James-Assiniboia School Division,King Edward-Deer Lodge Ward,Paul MURPHY,Office of School Trustee,1714,No
October 26 1977,General Election,St. Vital School Division,,J. Paul MAGER,Office of School Trustee,3821,No
October 23 1974,General Election,Winnipeg School Division,2,Bill EINARSON,Office of School Trustee,2269,No
October 22 2014,General Election,Fort Rouge-East Fort Garry,,Jenny GERBASI,Office of Councillor,11756,Yes
October 25 2006,General Election,Seven Oaks School Division,3,Shae GREENFIELD,Office of School Trustee,1318,No
October 28 1992,General Election,Mynarski,,Gloria MENDELSON,Office of Councillor,4842,No
October 26 1977,General Election,Assiniboine South School Division,2,Dale SCOTT,Office of School Trustee,938,No
October 26 1989,General Election,Winnipeg,,John WYNEN,Office of Mayor,1131,No
October 23 2002,General Election,Louis Riel School Division,3,Theresa HUNT,Office of School Trustee,3019,No
October 26 1995,General Election,River East School Division,3,Jim MOJELSKY,Office of School Trustee,507,No
October 23 1974,General Election,Leighton,,Anne JOROWSKI,Office of Councillor,1153,Yes
October 25 2006,General Election,St. Norbert,,Glenda WHITEMAN,Office of Councillor,2891,No
October 23 1974,General Election,Winnipeg School Division,1,Frank HOFFMAN,Office of School Trustee,2306,No
October 28 1992,General Election,Norwood School Division,,Louise JOHNSTON,Office of School Trustee,2712,Yes
October 28 1998,General Election,Transcona-Springfield School Division,1,Greg ANDRUSHKO,Office of School Trustee,1390,No
October 22 1986,General Election,Fort Garry School Division,3,Gary CUMMINGS,Office of School Trustee,1027,No
October 26 1983,General Election,Sisler,,Bob OPITZ,Office of Councillor,1563,No
October 28 1998,General Election,Seven Oaks School Division,2,Paul ELSHOFF,Office of School Trustee,560,No
October 23 2002,General Election,Elmwood-East Kildonan,,Ray BRUNKA,Office of Councillor,1931,No
October 26 1995,General Election,St. Vital School Division,,Dennis REBELLO,Office of School Trustee,2095,No
October 26 1995,General Election,Seven Oaks School Division,2,Bill MCGOWAN,Office of School Trustee,3143,Yes
October 28 1998,General Election,River East School Division,3,Jake WIEBE,Office of School Trustee,2503,No
October 28 1998,General Election,Fort Garry School Division,1,Orton HARRISON,Office of School Trustee,1696,Yes
October 28 1992,General Election,Point Douglas,,John PRYSTANSKI,Office of Councillor,4847,Yes
October 26 1983,General Election,Pembina,,Charles BIRT,Office of Councillor,5314,Yes
October 23 1974,General Election,Fort Garry School Division,3,Henry KLASSEN,Office of School Trustee,835,Yes
October 26 1977,General Election,Springfield Heights,,Paul MARLOWE,Office of Councillor,1002,No
October 23 1974,General Election,Fort Garry School Division,3,Ken WALKER,Office of School Trustee,375,No
October 26 1977,General Election,St. James-Assiniboia School Division,King Edward-Deer Lodge Ward,George MCALLISTER,Office of School Trustee,2008,No
October 27 2010,General Election,Louis Riel School Division,2,Chris SIGURDSON,Office of School Trustee,4162,Yes
October 22 1986,General Election,St. James-Assiniboia School Division,Silver Heights-Booth Ward,Sandra PATTERSON,Office of School Trustee,1711,No
October 26 1995,General Election,Fort Garry School Division,4,Sondra BRUNI,Office of School Trustee,1317,No
October 28 1992,General Election,Seven Oaks School Division,2,Paul ELSHOFF,Office of School Trustee,892,No
October 28 1992,General Election,Winnipeg,,Ernie GILROY,Office of Mayor,26001,No
October 26 1983,General Election,Fort Garry School Division,4,Dave CRUMB,Office of School Trustee,1029,Yes
October 28 1992,General Election,Winnipeg,,Aurel Joseph PREFONTAINE,Office of Mayor,348,No
October 22 1986,General Election,Winnipeg School Division,3,Joe KULYK,Office of School Trustee,1766,No
October 27 2010,General Election,Charleswood-Tuxedo,,Livio CIARALLI,Office of Councillor,1271,No
October 28 1992,General Election,Transcona-Springfield School Division,2,Jack LANG,Office of School Trustee,831,No
October 26 1977,General Election,St. James-Assiniboia School Division,King Edward-Deer Lodge Ward,Aidan CONKLIN,Office of School Trustee,2260,Yes
October 26 1977,General Election,Elmwood,,Ray BRUNKA,Office of Councillor,2352,No
October 25 2006,General Election,St. James-Assiniboia School Division,Silver Heights-Booth Ward,Craig MCGREGOR,Office of School Trustee,3709,Yes
October 27 2010,General Election,St. James-Assiniboia School Division,Kirkfield-St. Charles Ward,Eric HOLLAND,Office of School Trustee,2920,No
October 28 1998,General Election,Winnipeg School Division,1,Anita NEVILLE,Office of School Trustee,10582,Yes
October 22 2014,General Election,Louis Riel School Division,4,Candace MAXYMOWICH,Office of School Trustee,3179,No
October 28 1992,General Election,Winnipeg School Division,1,Ken JONES,Office of School Trustee,6958,No
October 23 1974,General Election,St. Boniface School Division,,Gordon DUNCAN,Office of School Trustee,2786,Yes
October 26 1983,General Election,Winnipeg School Division,3,Mary FORSYTH,Office of School Trustee,3939,No
October 23 1974,General Election,St. James-Assiniboia School Division,,Christine BUCHEL,Office of School Trustee,2438,No
October 22 2014,General Election,Winnipeg School Division,9,Dean KOSHELANYK,Office of School Trustee,4510,Yes
October 15 2003,By-Election,Louis Riel School Division,3,Wayne RUFF,Office of School Trustee,1070,Yes
October 26 1989,General Election,St. James-Assiniboia School Division,Kirkfield-St. Charles Ward,Bruce CHEGUS,Office of School Trustee,2881,Yes
October 22 2014,General Election,Winnipeg School Division,8,Mike BABINSKY,Office of School Trustee,3520,Yes
April 14 2005,By-Election,St. Norbert,,Justin SWANDEL,Office of Councillor,1868,Yes
October 25 2006,General Election,St. James-Brooklands,,Constance MENZIES,Office of Councillor,1387,No
November 26 2011,By-Election,St. Vital,,Harry WOLBERT,Office of Councillor,49,No
October 26 1977,General Election,St. James-Assiniboia School Division,King Edward-Deer Lodge Ward,Brian SMITH,Office of School Trustee,2068,No
October 26 1977,General Election,Winnipeg School Division,1,Elizabeth WILLCOCK,Office of School Trustee,12320,Yes
November 26 2011,By-Election,Winnipeg School Division,1,Gerrit THEULE,Office of School Trustee,143,No
October 26 1995,General Election,River East School Division,3,Leni HAMM-LOUSIER,Office of School Trustee,2591,No
October 26 1977,General Election,River East School Division,1,Bryon PETERSON,Office of School Trustee,2669,Yes
October 26 1995,General Election,Seven Oaks School Division,2,Eartha GYLES,Office of School Trustee,1634,No
October 26 1989,General Election,Miles MacDonnell,,Terry DUGUID,Office of Councillor,2139,Yes
October 25 2006,General Election,Seven Oaks School Division,2,Gary FOGG,Office of School Trustee,3097,Yes
October 22 2014,General Election,Winnipeg School Division,1,Marilyn SIMON,Office of School Trustee,477,No
October 23 1974,General Election,Talbot,,Edward TYMCHUK,Office of Councillor,920,No
October 28 1992,General Election,Transcona-Springfield School Division,2,Lorraine VALLIS,Office of School Trustee,2134,Yes
October 23 1974,General Election,Maybank,,Arnold SEALEY,Office of Councillor,362,No
October 26 1989,General Election,St. Charles,,Nick JONES,Office of Councillor,229,No
October 22 1986,General Election,Sargent Park,,George SLOBODZIAN,Office of Councillor,1825,No
October 23 2002,General Election,Pembina Trails School Division,1,Gerry MELNYK,Office of School Trustee,5520,Yes
October 26 1989,General Election,Winnipeg,,Bill NORRIE,Office of Mayor,100689,Yes
October 27 2010,General Election,Louis Riel School Division,1,Louise JOHNSTON,Office of School Trustee,5304,Yes
October 26 1983,General Election,Seven Oaks School Division,3,Gwen KRINDLE,Office of School Trustee,4938,Yes
October 26 1983,General Election,Seine Valley,,Gerry DUCHARME,Office of Councillor,7042,Yes
October 23 1974,General Election,St. Vital School Division,,Jim BUCHANAN,Office of School Trustee,2490,Yes
October 26 1983,General Election,Fort Garry School Division,1,David BOWLES,Office of School Trustee,1098,No
October 25 2006,General Election,St. Charles,,Rene LEWIS,Office of Councillor,1520,No
October 22 1986,General Election,Tuxedo Heights,,Bill NEVILLE,Office of Councillor,3735,Yes
October 28 1998,General Election,Point Douglas,,John PRYSTANSKI,Office of Councillor,4477,Yes
October 27 2010,General Election,Winnipeg School Division,3,Darlyne BAUTISTA,Office of School Trustee,7979,Yes
October 26 1995,General Election,Point Douglas,,John PRYSTANSKI,Office of Councillor,5693,Yes
October 22 1986,General Election,Winnipeg School Division,2,Vince BUETI,Office of School Trustee,3605,No
October 22 1986,General Election,St. James-Assiniboia School Division,King Edward-Deer Lodge Ward,George WYLIE,Office of School Trustee,886,No
October 23 1974,General Election,Winnipeg,,Brenda DINEEN,Office of Mayor,6174,No
October 22 1986,General Election,Norwood School Division,,Claudette SAVARD,Office of School Trustee,1548,Yes
October 25 2006,General Election,Daniel McIntyre,,Harvey SMITH,Office of Councillor,4919,Yes
October 23 1974,General Election,Kilnorth,,Walter BOWDEN,Office of Councillor,1100,No
October 22 1986,General Election,Notre Dame,,Margaret GAUNE,Office of Councillor,477,No
October 26 1995,General Election,Winnipeg School Division,2,Marshall MURDOCK,Office of School Trustee,1877,No
October 26 1995,General Election,St. James-Assiniboia School Division,King Edward-Deer Lodge Ward,Wallie MARZOFF,Office of School Trustee,1114,No
October 27 2010,General Election,Elmwood-East Kildonan,,Thomas STEEN,Office of Councillor,3921,Yes
October 26 1989,General Election,Transcona,,Rick BOYCHUK,Office of Councillor,2185,Yes
October 28 1992,General Election,Winnipeg School Division,3,Wayne RUMLEY,Office of School Trustee,1978,No
October 26 1995,General Election,Winnipeg,,Michael GRIEGER,Office of Mayor,1007,No
October 28 1992,General Election,Assiniboine South School Division,2,Nancy WHEATLEY,Office of School Trustee,4557,Yes
October 26 1989,General Election,River Heights,,Jackie A. RITCHIE,Office of Councillor,726,No
October 26 1983,General Election,Crescent Heights,,Sam KATZ,Office of Councillor,1695,No
October 23 1974,General Election,Weston,,Allan SMITH,Office of Councillor,701,No
October 23 1974,General Election,St. James-Assiniboia School Division,,Francis ARMSTRONG,Office of School Trustee,4358,Yes
October 26 1983,General Election,River East School Division,3,Don TYMKO,Office of School Trustee,3552,Yes
October 22 1986,General Election,Transcona-Springfield School Division,,Mary ANDREE,Office of School Trustee,2596,Yes
November 26 2011,By-Election,Louis Riel School Division,2,Jeremiah KOPP,Office of School Trustee,817,No
October 26 1977,General Election,Tuxedo Heights,,Bill NORRIE,Office of Councillor,0,Yes
October 26 1995,General Election,Winnipeg School Division,2,Elizabeth MADRID,Office of School Trustee,2295,No
October 26 1977,General Election,Fort Garry School Division,2,Ralph PEARCE,Office of School Trustee,0,Yes
October 26 1983,General Election,River East School Division,2,Vicki LAZARUK,Office of School Trustee,1953,No
October 22 1986,General Election,Kildonan Park,,John PETRINKA,Office of Councillor,1746,No
October 22 1986,General Election,Winnipeg School Division,3,Doris FEDUN,Office of School Trustee,3192,No
October 28 1998,General Election,Seven Oaks School Division,2,Marie DAME,Office of School Trustee,2006,No
October 22 1986,General Election,Seven Oaks School Division,3,Richard DOOLEY,Office of School Trustee,1150,No
October 25 2006,General Election,Louis Riel School Division,1,Carly BLANCHARD,Office of School Trustee,3078,No
October 26 1995,General Election,Old Kildonan,,John ORLIKOW,Office of Councillor,5691,No
October 26 1995,General Election,Assiniboine South School Division,1,Wendy MOROZ,Office of School Trustee,3318,Yes
April 14 2005,By-Election,St. Norbert,,Catriona YOUNGER,Office of Councillor,397,No
October 22 1986,General Election,St. Vital School Division,,Barbara CAPE,Office of School Trustee,5938,Yes
November 26 2011,By-Election,Winnipeg School Division,1,Ben SHEDDEN,Office of School Trustee,285,No
October 28 1992,General Election,Winnipeg School Division,1,Betty GRANGER,Office of School Trustee,9459,Yes
October 22 2014,General Election,St. Norbert,,Janice LUKES,Office of Councillor,10719,Yes
October 26 1977,General Election,Transcona-Springfield School Division,,Doris TOPOLNISKI,Office of School Trustee,2221,No
October 26 1995,General Election,Old Kildonan,,Renato TUAZON,Office of Councillor,537,No
October 28 1998,General Election,Old Kildonan,,Ross EADIE,Office of Councillor,7002,No
October 23 1974,General Election,Bannatyne,,Magnus ELIASON,Office of Councillor,879,Yes
October 27 2010,General Election,River Heights-Fort Garry,,Michael KOWALSON,Office of Councillor,8677,No
October 22 2014,General Election,Pembina Trails School Division,2,Christiane DEVLIN,Office of School Trustee,6181,No
October 26 1977,General Election,Transcona,,Bob NELSON,Office of Councillor,1588,No
October 22 1986,General Election,Springfield Heights,,Shirley TIMM-RUDOLPH,Office of Councillor,2254,Yes
October 26 1983,General Election,Transcona-Springfield School Division,1,Paul MARTIN,Office of School Trustee,2891,Yes
October 23 2002,General Election,Winnipeg School Division,2,Andrew SAWATSKY,Office of School Trustee,4460,No
October 26 1983,General Election,River East School Division,1,Helen MAYBA,Office of School Trustee,3863,Yes
October 23 1974,General Election,Charleswood Park,,Al COOPMAN,Office of Councillor,795,No
October 25 2006,General Election,Fort Rouge-East Fort Garry,,Wilf MAKUS,Office of Councillor,2826,No
October 26 1989,General Election,Jefferson,,Samuel SHIEL,Office of Councillor,259,No
October 26 1995,General Election,Winnipeg School Division,2,Gary HOLLINGSHEAD,Office of School Trustee,1318,No
October 26 1977,General Election,St. James-Assiniboia School Division,Silver Heights-Booth Ward,Pam LAVERY,Office of School Trustee,2406,No
October 28 1992,General Election,Fort Garry School Division,1,Dorothy RENNIE,Office of School Trustee,0,Yes
October 23 1974,General Election,River East School Division,1,Eric DALMAN,Office of School Trustee,1027,No
October 23 2002,General Election,Winnipeg,,Chris HENDERSON,Office of Mayor,7270,No
October 25 2006,General Election,St. James-Brooklands,,Fred MORRIS,Office of Councillor,521,No
November 26 2011,By-Election,St. Vital,,Brian MAYES,Office of Councillor,3623,Yes
October 27 2010,General Election,Louis Riel School Division,1,Bob WILSON,Office of School Trustee,2274,No
October 22 2014,General Election,River East Transcona School Division,4,Peter KOTYK,Office of School Trustee,5879,Yes
October 26 1995,General Election,Assiniboine South School Division,1,Doris JORDAN,Office of School Trustee,1795,No
October 26 1983,General Election,St. Boniface School Division,,Anita CHAPMAN,Office of School Trustee,5016,Yes
October 25 2006,General Election,Pembina Trails School Division,1,Gerald MCDONALD,Office of School Trustee,844,No
October 23 2002,General Election,Elmwood-East Kildonan,,Bryan MCLEOD,Office of Councillor,1548,No
October 28 1992,General Election,St. James-Assiniboia School Division,King Edward-Deer Lodge Ward,Bruce ALEXANDER,Office of School Trustee,3665,Yes
October 28 1992,General Election,River East School Division,3,Barbara BUFFIE,Office of School Trustee,6063,Yes
October 06 1971,General Election,Winnipeg,,William HUTTON,Office of Mayor,8536,No
October 28 1998,General Election,St. Norbert,,Rick HRUBENIUK,Office of Councillor,5001,No
October 26 1989,General Election,Fort Garry School Division,3,Gary CUMMINGS,Office of School Trustee,0,Yes
October 22 1986,General Election,Seven Oaks School Division,3,Ben ZAIDMAN,Office of School Trustee,2556,Yes
October 26 1995,General Election,Transcona-Springfield School Division,1,Linda REGEY,Office of School Trustee,731,No
October 26 1995,General Election,Fort Garry School Division,4,Peggy HALSTEAD,Office of School Trustee,1579,Yes
October 22 1986,General Election,Assiniboine South School Division,2,Maxine HASSELRIIS,Office of School Trustee,1050,No
October 28 1992,General Election,River East School Division,2,Vicki LAZARUK,Office of School Trustee,3426,Yes
October 22 2014,General Election,Winnipeg School Division,1,Heather CARDONA,Office of School Trustee,2044,No
October 28 1998,General Election,Seven Oaks School Division,3,Ben HANUSCHUK,Office of School Trustee,3678,Yes
October 26 1983,General Election,Seven Oaks School Division,3,Raymond STOYKO,Office of School Trustee,2669,No
October 26 1989,General Election,Winnipeg School Division,2,Terry MCMANUS,Office of School Trustee,3099,No
October 26 1977,General Election,Fort Garry School Division,4,Henry KLASSEN,Office of School Trustee,0,Yes
October 28 1998,General Election,Transcona,,Shirley TIMM-RUDOLPH,Office of Councillor,12223,Yes
October 23 1974,General Election,Wildwood,,Dick WANKLING,Office of Councillor,1624,Yes
October 23 1974,General Election,Polo Park,,Geoff DIXON,Office of Councillor,1202,Yes
October 23 2002,General Election,Pembina Trails School Division,2,Sue CLAYTON,Office of School Trustee,8182,Yes
October 26 1983,General Election,Tache,,Richard VERMETTE,Office of Councillor,2135,No
October 27 2010,General Election,Elmwood-East Kildonan,,Shaneen ROBINSON,Office of Councillor,3705,No
October 26 1983,General Election,St. James-Assiniboia School Division,Kirkfield-St. Charles Ward,Doug VICKERY,Office of School Trustee,3712,Yes
June 22 2004,By-Election,River Heights-Fort Garry,,Jocelyn GREENWOOD,Office of Councillor,635,No
October 23 1974,General Election,Winnipeg School Division,3,Luba FEDORKIW,Office of School Trustee,4286,No
October 23 1974,General Election,Winnipeg,,Steve JUBA,Office of Mayor,109225,Yes
October 27 2010,General Election,River East Transcona School Division,2,Gurpreet BRAR,Office of School Trustee,2454,No
October 28 1992,General Election,St. Vital School Division,,Dave RICHARDSON,Office of School Trustee,8677,Yes
October 23 2002,General Election,St. Norbert,,Gerald FAST,Office of Councillor,4119,No
October 23 2002,General Election,St. Boniface,,Dan VANDAL,Office of Councillor,0,Yes
October 22 1986,General Election,Fort Garry School Division,1,Orton HARRISON,Office of School Trustee,963,No
October 23 1974,General Election,Tache,,Robert BOCKSTAEL,Office of Councillor,0,Yes
October 25 2006,General Election,St. Vital,,Leslie FINGLER,Office of Councillor,2466,No
October 26 1995,General Election,Point Douglas,,Delia KNOL,Office of Councillor,1597,No
October 26 1995,General Election,Winnipeg School Division,3,Liz AMBROSE,Office of School Trustee,4715,Yes
October 26 1983,General Election,Glenlawn,,Al DUCHARME,Office of Councillor,4816,Yes
October 28 1998,General Election,St. Boniface School Division,3,Ric PAQUETTE,Office of School Trustee,2303,No
October 26 1983,General Election,Miles MacDonnell,,Wallace LEWIS,Office of Councillor,1247,No
October 28 1998,General Election,Winnipeg School Division,2,Kristine BARR,Office of School Trustee,5308,Yes
October 26 1977,General Election,Norwood School Division,,Mildred KING,Office of School Trustee,1019,No
October 22 2014,General Election,Pembina Trails School Division,3,Kathleen McMILLAN,Office of School Trustee,5552,Yes
October 28 1998,General Election,Seven Oaks School Division,3,Jill MAYER,Office of School Trustee,2637,No
October 26 1983,General Election,Jefferson,,Abe YANOFSKY,Office of Councillor,5126,Yes
October 26 1989,General Election,Transcona-Springfield School Division,1,Betty WATTS,Office of School Trustee,2112,Yes
October 26 1995,General Election,Transcona,,Tyrone ALZUBAIDI,Office of Councillor,492,No
October 23 1974,General Election,Assiniboine South School Division,2,Verna VAN ROON,Office of School Trustee,1955,Yes
October 26 1983,General Election,St. Boniface School Division,,Jim GARWOOD,Office of School Trustee,4658,Yes
October 28 1992,General Election,Old Kildonan,,Ed MATIATION,Office of Councillor,869,No
October 26 1983,General Election,Assiniboine South School Division,2,Dave MORRIS,Office of School Trustee,2710,Yes
October 26 1989,General Election,Seven Oaks School Division,2,Ramona GALLOS,Office of School Trustee,1893,Yes
October 22 2014,General Election,Louis Riel School Division,3,Perry GILMOUR,Office of School Trustee,1979,No
October 26 1989,General Election,Henderson,,Don MITCHELSON,Office of Councillor,3545,Yes
October 22 2014,General Election,Winnipeg,,Brian BOWMAN,Office of Mayor,111504,Yes
October 22 1986,General Election,Norwood School Division,,Monica SCHADE,Office of School Trustee,846,No
October 23 1974,General Election,River East School Division,3,Frank DE GRAFF,Office of School Trustee,1469,No
October 26 1983,General Election,Winnipeg School Division,2,Steve SEPTEMBER,Office of School Trustee,2588,No
October 23 1974,General Election,River East School Division,2,John MITCHELL,Office of School Trustee,603,No
October 23 1974,General Election,St. James-Assiniboia School Division,,John STEEVES,Office of School Trustee,2870,No
October 26 1983,General Election,Transcona-Springfield School Division,2,Bill LYONS,Office of School Trustee,1411,No
October 26 1989,General Election,Winnipeg,,Conrad SANTOS,Office of Mayor,5021,No
October 26 1983,General Election,St. James-Assiniboia School Division,Silver Heights-Booth Ward,Eric JONASSON,Office of School Trustee,2884,No
October 22 1986,General Election,Assiniboine South School Division,2,Lezlie PARKER,Office of School Trustee,695,No
October 28 1998,General Election,Winnipeg School Division,3,Karen FRANKLIN,Office of School Trustee,2880,No
October 22 2014,General Election,Louis Riel School Division,3,Gill TYRRELL,Office of School Trustee,2100,No
October 23 2002,General Election,Seven Oaks School Division,2,Gary FOGG,Office of School Trustee,3273,Yes
October 22 1986,General Election,Memorial,,Larry PETERS,Office of Councillor,395,No
October 22 1986,General Election,Transcona,,Rick BOYCHUK,Office of Councillor,2153,No
October 25 2006,General Election,Winnipeg School Division,3,Roy HARGRAVE,Office of School Trustee,3146,No
October 25 2006,General Election,Winnipeg,,Sam KATZ,Office of Mayor,104379,Yes
October 22 2014,General Election,River Heights-Fort Garry,,John ORLIKOW,Office of Councillor,11856,Yes
October 28 1998,General Election,Winnipeg School Division,1,Bob WILSON,Office of School Trustee,3704,No
October 22 2014,General Election,Elmwood-East Kildonan,,Paul QUAYE,Office of Councillor,770,No
October 25 2006,General Election,Daniel McIntyre,,Don SALTER,Office of Councillor,551,No
October 27 2010,General Election,Winnipeg School Division,2,Myra LARAMEE,Office of School Trustee,6254,No
October 22 1986,General Election,Winnipeg School Division,3,Angel BRUNKA,Office of School Trustee,3187,No
October 25 2006,General Election,Winnipeg,,Marianne CERILLI,Office of Mayor,38227,No
October 22 2014,General Election,Louis Riel School Division,1,Cindy TURNER,Office of School Trustee,4979,Yes
October 23 1974,General Election,Winnipeg School Division,1,Leon LEDOHOWSKI,Office of School Trustee,6113,No
October 23 1974,General Election,Seven Oaks School Division,3,Harvey WEISMAN,Office of School Trustee,2064,Yes
February 20 2001,By-Election,Winnipeg School Division,1,David YAUNISKIS,Office of School Trustee,101,No
October 25 2006,General Election,Louis Riel School Division,4,Miguel DESROSIERS,Office of School Trustee,2676,No
October 22 2014,General Election,Daniel McIntyre,,Godwin SMITH,Office of Councillor,257,No
October 25 2006,General Election,St. James-Assiniboia School Division,Kirkfield-St. Charles Ward,Bruce CHEGUS,Office of School Trustee,3331,Yes
